Country of Residence,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Country,Total,Total in %,Land van Verblijf
Deutschland,,1.0,3.0,31.0,50.0,45.0,66.0,78.0,120.0,75.0,59.0,35.0,29.0,72.0,84.0,92.0,80.0,86.0,73.0,71.0,87.0,85.0,84.0,34.0,9.0,5.0,DE,1454,37.13,Duitsland
Grossbritannien,,,,,1.0,15.0,10.0,15.0,26.0,17.0,23.0,27.0,26.0,22.0,33.0,29.0,29.0,37.0,47.0,34.0,24.0,42.0,18.0,23.0,33.0,40.0,GB,571,14.58,Groot -Brittannië
Frankreich,,,,2.0,4.0,12.0,3.0,12.0,16.0,18.0,19.0,7.0,9.0,15.0,20.0,22.0,35.0,33.0,30.0,42.0,31.0,43.0,35.0,45.0,46.0,50.0,FR,549,14.02,Frankrijk
Schweiz,6.0,4.0,4.0,11.0,17.0,9.0,14.0,12.0,15.0,6.0,10.0,4.0,6.0,11.0,13.0,8.0,6.0,4.0,6.0,7.0,7.0,7.0,13.0,15.0,11.0,15.0,CH,241,6.15,Zwitserland
Italien,,,,1.0,,2.0,,4.0,2.0,1.0,1.0,4.0,4.0,14.0,22.0,14.0,10.0,14.0,8.0,9.0,19.0,16.0,14.0,26.0,22.0,23.0,IT,230,5.87,Italië
USA,,,,,1.0,4.0,3.0,3.0,,2.0,,,5.0,9.0,7.0,10.0,7.0,15.0,9.0,16.0,10.0,18.0,15.0,11.0,21.0,41.0,US,207,5.29,VS
Israel,,,,1.0,,4.0,1.0,,,2.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,11.0,7.0,11.0,9.0,31.0,24.0,20.0,IL,146,3.73,Israël
Österreich,,,,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,7.0,3.0,8.0,4.0,4.0,2.0,7.0,5.0,5.0,8.0,4.0,AT,86,2.2,Oostenrijk
Kanada,,,,,,,1.0,,1.0,1.0,5.0,1.0,5.0,1.0,2.0,8.0,11.0,7.0,5.0,12.0,4.0,,,,,1.0,CA,65,1.66,Canada
Spanien,,,,1.0,,1.0,1.0,2.0,3.0,3.0,2.0,,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,1.0,3.0,ES,46,1.17,Spanje
Australien,,,,,,1.0,1.0,1.0,1.0,4.0,1.0,,3.0,3.0,,3.0,2.0,3.0,1.0,3.0,5.0,5.0,,1.0,2.0,3.0,AU,43,1.1,Australië
Schweden,,,,,,2.0,,2.0,3.0,2.0,2.0,,3.0,,,2.0,1.0,1.0,2.0,1.0,6.0,2.0,3.0,3.0,1.0,2.0,SE,38,0.97,Zweden
Taiwan,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,,1.0,2.0,8.0,TW,17,0.43,Taiwan
Norwegen,,,,,,,,,,,,,,,,,,3.0,,3.0,1.0,2.0,2.0,1.0,2.0,1.0,NO,15,0.38,Noorwegen
Irland,,,,,,1.0,1.0,3.0,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,2.0,1.0,IE,13,0.33,Ierland
Südafrika,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,1.0,3.0,1.0,,1.0,2.0,ZA,13,0.33,Zuid -Afrika
Tschechien,,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,2.0,,2.0,1.0,2.0,1.0,CZ,13,0.33,Tsjechische Republiek
